# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
 138 5.4060820954e-10 1.5085882012e-13 -5.9741370172e-12 0.0000000000e+00 4.5135753745e-12 7.6062270220e-13 -3.4175016528e-15
 139 5.4538920414e-10 1.5099566298e-13 -6.0176355589e-12 0.0000000000e+00 4.4229854106e-12 7.4885128546e-13 -3.3896541726e-15
 140 5.5013748633e-10 1.5106678039e-13 -6.0583177967e-12 0.0000000000e+00 4.3347283053e-12 7.3726873017e-13 -3.3645515976e-15
 141 5.5483905161e-10 1.5107296337e-13 -6.0958856095e-12 0.0000000000e+00 4.2487084191e-12 7.2579438195e-13 -3.3368596316e-15
 142 5.5948409218e-10 1.5101489800e-13 -6.1300945514e-12 0.0000000000e+00 4.1648307935e-12 7.1436903630e-13 -3.3023428172e-15
 143 5.6408234682e-10 1.5089246216e-13 -6.1609585539e-12 0.0000000000e+00 4.0830474039e-12 7.0303894721e-13 -3.2622434143e-15
 144 5.6864926745e-10 1.5070536272e-13 -6.1885654144e-12 0.0000000000e+00 4.0033149439e-12 6.9188005124e-13 -3.2193317171e-15
 145 5.7320123723e-10 1.5045335692e-13 -6.2130130047e-12 0.0000000000e+00 3.9255800498e-12 6.8097175074e-13 -3.1765395802e-15
 146 5.7775558675e-10 1.5013625339e-13 -6.2344094697e-12 0.0000000000e+00 3.8497790691e-12 6.7039696727e-13 -3.1369632407e-15
 147 5.8233061016e-10 1.4975391327e-13 -6.2528734256e-12 0.0000000000e+00 3.7758378299e-12 6.6024219494e-13 -3.1038661399e-15
 148 5.8693969862e-10 1.4930632901e-13 -6.2684918940e-12 0.0000000000e+00 3.7036825282e-12 6.5056552057e-13 -3.0795299484e-15
 149 5.9157307214e-10 1.4879386747e-13 -6.2811891360e-12 0.0000000000e+00 3.6332740541e-12 6.4129711418e-13 -3.0616774800e-15
 150 5.9621431673e-10 1.4821705227e-13 -6.2908455464e-12 0.0000000000e+00 3.5645765365e-12 6.3232924338e-13 -3.0467101749e-15
 151 6.0084609391e-10 1.4757648952e-13 -6.2973387566e-12 0.0000000000e+00 3.4975463513e-12 6.2354732869e-13 -3.0308256344e-15
 152 6.0545012489e-10 1.4687286927e-13 -6.3005436030e-12 0.0000000000e+00 3.4321319514e-12 6.1482982254e-13 -3.0100141747e-15
 153 6.1000717472e-10 1.4610696700e-13 -6.3003320960e-12 0.0000000000e+00 3.3682736957e-12 6.0604808840e-13 -2.9800553811e-15
 154 6.1450179841e-10 1.4527992164e-13 -6.2966071911e-12 0.0000000000e+00 3.3059122346e-12 5.9710400977e-13 -2.9378510656e-15
 155 6.1893710580e-10 1.4439409557e-13 -6.2894076786e-12 0.0000000000e+00 3.2450148937e-12 5.8804697918e-13 -2.8855698777e-15
 156 6.2332133633e-10 1.4345229725e-13 -6.2788129654e-12 0.0000000000e+00 3.1855514127e-12 5.7896753269e-13 -2.8268806542e-15
 157 6.2766322769e-10 1.4245751457e-13 -6.2649102808e-12 0.0000000000e+00 3.1274854825e-12 5.6996065917e-13 -2.7656536646e-15
 158 6.3197202391e-10 1.4141291770e-13 -6.2477948149e-12 0.0000000000e+00 3.0707746175e-12 5.6112586903e-13 -2.7059638835e-15
 159 6.3625748345e-10 1.4032186199e-13 -6.2275698571e-12 0.0000000000e+00 3.0153700287e-12 5.5256726297e-13 -2.6520942628e-15
 160 6.4052727191e-10 1.3918745949e-13 -6.2042985508e-12 0.0000000000e+00 2.9612236974e-12 5.4436941603e-13 -2.6075063477e-15
 161 6.4477886245e-10 1.3801124477e-13 -6.1778540409e-12 0.0000000000e+00 2.9083105740e-12 5.3652247366e-13 -2.5716423120e-15
 162 6.4900692684e-10 1.3679439527e-13 -6.1480561963e-12 0.0000000000e+00 2.8566081201e-12 5.2899049162e-13 -2.5428433220e-15
